id	feature	value
SPDEF	Adrenoceptor Signaling Pathway	FALSE
SPDEF	Unfolded Protein Response Pathway	FALSE
SPDEF	AP-1 Complex Member	FALSE
ELK4	Upregulated (RNA-seq)	TRUE
ELK4	SE-Associated (ChIP-seq)	FALSE
ELK4	Previously implicated in venom regulation	FALSE
ELK4	Interacts with ERK	TRUE
ELK4	Adrenoceptor Signaling Pathway	FALSE
ELK4	Unfolded Protein Response Pathway	FALSE
ELK4	AP-1 Complex Member	FALSE
KLF11	Upregulated (RNA-seq)	TRUE
KLF11	SE-Associated (ChIP-seq)	TRUE
KLF11	Previously implicated in venom regulation	FALSE
KLF11	Interacts with ERK	TRUE
KLF11	Adrenoceptor Signaling Pathway	FALSE
KLF11	Unfolded Protein Response Pathway	FALSE
KLF11	AP-1 Complex Member	FALSE
JUN	Upregulated (RNA-seq)	FALSE
JUN	SE-Associated (ChIP-seq)	TRUE
JUN	Previously implicated in venom regulation	TRUE
JUN	Interacts with ERK	TRUE
JUN	Adrenoceptor Signaling Pathway	FALSE
JUN	Unfolded Protein Response Pathway	FALSE
JUN	AP-1 Complex Member	TRUE
ERF	Upregulated (RNA-seq)	TRUE
ERF	SE-Associated (ChIP-seq)	FALSE
ERF	Previously implicated in venom regulation	FALSE
ERF	Interacts with ERK	TRUE
ERF	Adrenoceptor Signaling Pathway	FALSE
ERF	Unfolded Protein Response Pathway	FALSE
ERF	AP-1 Complex Member	FALSE
FOS	Upregulated (RNA-seq)	TRUE
FOS	SE-Associated (ChIP-seq)	TRUE
FOS	Previously implicated in venom regulation	TRUE
FOS	Interacts with ERK	TRUE
FOS	Adrenoceptor Signaling Pathway	FALSE
FOS	Unfolded Protein Response Pathway	FALSE
FOS	AP-1 Complex Member	TRUE
CREB3L1	Upregulated (RNA-seq)	TRUE
CREB3L1	SE-Associated (ChIP-seq)	FALSE
CREB3L1	Previously implicated in venom regulation	FALSE
CREB3L1	Interacts with ERK	TRUE
CREB3L1	Adrenoceptor Signaling Pathway	TRUE
CREB3L1	Unfolded Protein Response Pathway	TRUE
CREB3L1	AP-1 Complex Member	FALSE
CCND1	Upregulated (RNA-seq)	TRUE
CCND1	SE-Associated (ChIP-seq)	FALSE
CCND1	Previously implicated in venom regulation	FALSE
CCND1	Interacts with ERK	FALSE
CCND1	Adrenoceptor Signaling Pathway	FALSE
CCND1	Unfolded Protein Response Pathway	TRUE
CCND1	AP-1 Complex Member	FALSE
EHF	Upregulated (RNA-seq)	TRUE
EHF	SE-Associated (ChIP-seq)	TRUE
EHF	Previously implicated in venom regulation	TRUE
EHF	Interacts with ERK	FALSE
EHF	Adrenoceptor Signaling Pathway	FALSE
EHF	Unfolded Protein Response Pathway	FALSE
EHF	AP-1 Complex Member	FALSE
ELF5	Upregulated (RNA-seq)	TRUE
ELF5	SE-Associated (ChIP-seq)	FALSE
ELF5	Previously implicated in venom regulation	TRUE
ELF5	Interacts with ERK	FALSE
ELF5	Adrenoceptor Signaling Pathway	FALSE
ELF5	Unfolded Protein Response Pathway	FALSE
ELF5	AP-1 Complex Member	FALSE
NR4A2	Upregulated (RNA-seq)	FALSE
NR4A2	SE-Associated (ChIP-seq)	TRUE
NR4A2	Previously implicated in venom regulation	TRUE
NR4A2	Interacts with ERK	FALSE
NR4A2	Adrenoceptor Signaling Pathway	FALSE
NR4A2	Unfolded Protein Response Pathway	FALSE
NR4A2	AP-1 Complex Member	FALSE
ATF2	Upregulated (RNA-seq)	TRUE
ATF2	SE-Associated (ChIP-seq)	FALSE
ATF2	Previously implicated in venom regulation	FALSE
ATF2	Interacts with ERK	TRUE
ATF2	Adrenoceptor Signaling Pathway	TRUE
ATF2	Unfolded Protein Response Pathway	FALSE
ATF2	AP-1 Complex Member	FALSE
GRHL1	Upregulated (RNA-seq)	TRUE
GRHL1	SE-Associated (ChIP-seq)	TRUE
GRHL1	Previously implicated in venom regulation	TRUE
GRHL1	Interacts with ERK	FALSE
GRHL1	Adrenoceptor Signaling Pathway	FALSE
GRHL1	Unfolded Protein Response Pathway	FALSE
GRHL1	AP-1 Complex Member	FALSE
TBX3	Upregulated (RNA-seq)	TRUE
TBX3	SE-Associated (ChIP-seq)	TRUE
TBX3	Previously implicated in venom regulation	FALSE
TBX3	Interacts with ERK	TRUE
TBX3	Adrenoceptor Signaling Pathway	FALSE
TBX3	Unfolded Protein Response Pathway	FALSE
TBX3	AP-1 Complex Member	FALSE
