longid	txid	id	DnaBinding	ProtBinding	Coregulator
augustus_masked-scaffold-ma1-processed-gene-970.1	crovir-transcript-9760	BCL11A	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-976.2	crovir-transcript-9791	SOX7	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-981.2	crovir-transcript-9826	ZNF395	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-99.0	crovir-transcript-7120	GSC	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-991.1	crovir-transcript-9918	ZNF513	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-994.7	crovir-transcript-9954	MLXIPL	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-108.4	crovir-transcript-13452	GATA2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-157.1	crovir-transcript-13644	KLF6	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-16.0	crovir-transcript-13227	ZNF692	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-173.1	crovir-transcript-13736	BRD8	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-218.2	crovir-transcript-13910	TCF7	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-283.2	crovir-transcript-14094	WIZ	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-287.1	crovir-transcript-14108	FOXR1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-287.1	crovir-transcript-14108	FOXN1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-3.8	crovir-transcript-13121	ZBTB12	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-325.3	crovir-transcript-14284	MAFG	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-367.1	crovir-transcript-14451	NR4A1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-389.5	crovir-transcript-14547	KMT2D	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-4.5	crovir-transcript-13131	ATF6B	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-417.4	crovir-transcript-14655	HOXC10	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-436.5	crovir-transcript-14772	MBD1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-441.7	crovir-transcript-14830	KDM5C	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-478.3	crovir-transcript-15058	ZC3H11A	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-587.3	crovir-transcript-15411	DMRT1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-60.1	crovir-transcript-13360	FOXP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-624.4	crovir-transcript-15525	NFIL3	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma2-processed-gene-636.2	crovir-transcript-15552	PRDM6	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-681.0	crovir-transcript-15649	MEF2C	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-752.0	crovir-transcript-15889	TCF4	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma2-processed-gene-97.0	crovir-transcript-13427	KLF15	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-103.0	crovir-transcript-5094	PLAG1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-176.3	crovir-transcript-5295	ID4	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma3-processed-gene-185.3	crovir-transcript-5324	HIVEP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-192.1	crovir-transcript-5349	RREB1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-210.1	crovir-transcript-5407	FOXO1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-248.0	crovir-transcript-5470	IRX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-28.3	crovir-transcript-4864	ZHX2	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma3-processed-gene-300.3	crovir-transcript-5645	ATF6	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma3-processed-gene-333.2	crovir-transcript-5724	NR5A2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-366.1	crovir-transcript-5827	GFI1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-38.0	crovir-transcript-4887	TRPS1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-426.0	crovir-transcript-6005	GLIS1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-429.1	crovir-transcript-6026	CC2D1B	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-431.2	crovir-transcript-6040	DMRTA2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-437.1	crovir-transcript-6046	FOXD2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-446.6	crovir-transcript-6104	TOE1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-478.0	crovir-transcript-6265	SOX13	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-484.6	crovir-transcript-6292	NUCKS1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-514.1	crovir-transcript-6418	KDM5B	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma3-processed-gene-541.2	crovir-transcript-6515	ZHX3	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma3-processed-gene-561.0	crovir-transcript-6584	ZFP64	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma3-processed-gene-589.2	crovir-transcript-6649	GATA5	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-1.1	crovir-transcript-3200	NSD2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-156.1	crovir-transcript-3515	SCML2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-196.0	crovir-transcript-3647	ZBTB21	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-196.1	crovir-transcript-3648	PRDM15	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-200.4	crovir-transcript-3667	ETS2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-272.9	crovir-transcript-3881	ZBTB20	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma4-processed-gene-30.1	crovir-transcript-3243	DACH1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-11.2	crovir-transcript-10147	ARID5B	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma5-processed-gene-153.6	crovir-transcript-10527	TAF5	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-162.1	crovir-transcript-10565	LCOR	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-189.0	crovir-transcript-10708	THAP4	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-2.1	crovir-transcript-10114	RFX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-251.3	crovir-transcript-10890	MECOM	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-28.1	crovir-transcript-10210	PITX3	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-28.3	crovir-transcript-10212	NFKB2	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma5-processed-gene-28.5	crovir-transcript-10213	NOLC1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma5-processed-gene-29.2	crovir-transcript-10215	PAX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-1.2	crovir-transcript-11609	SOX18	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-10.6	crovir-transcript-11639	BHLHE41	TRUE	TRUE	TRUE
augustus_masked-scaffold-ma6-processed-gene-12.1	crovir-transcript-11651	DMTF1	TRUE	TRUE	FALSE
augustus_masked-scaffold-ma6-processed-gene-180.3	crovir-transcript-12163	PRDM4	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-182.2	crovir-transcript-12173	RFX4	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-190.0	crovir-transcript-12209	KIAA1549	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-206.6	crovir-transcript-12271	KDM5A	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma6-processed-gene-69.0	crovir-transcript-11782	FOXP2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma6-processed-gene-81.1	crovir-transcript-11810	INSM1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-139.0	crovir-transcript-4623	HMGB1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-148.0	crovir-transcript-4648	LCORL	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-153.6	crovir-transcript-4661	IER2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-33.2	crovir-transcript-4350	ATOH7	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-33.2	crovir-transcript-4350	ATOH1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma7-processed-gene-56.0	crovir-transcript-4420	PITX2	TRUE	TRUE	TRUE
augustus_masked-scaffold-ma7-processed-gene-79.4	crovir-transcript-4490	NOCT	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-3.4	crovir-transcript-12664	POU2F3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-30.0	crovir-transcript-12782	AEBP1	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi1-processed-gene-57.8	crovir-transcript-12918	PURA	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-57.8	crovir-transcript-12918	PURB	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-6.7	crovir-transcript-12680	BSX	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-61.3	crovir-transcript-12966	PRDM10	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-63.17	crovir-transcript-12994	FIGLA	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi1-processed-gene-74.10	crovir-transcript-13111	KMT2A	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi10-processed-gene-11.4	crovir-transcript-12505	GON4L	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi10-processed-gene-16.14	crovir-transcript-12612	ONECUT2	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi10-processed-gene-16.26	crovir-transcript-12633	POGZ	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi10-processed-gene-4.3	crovir-transcript-12401	RELA	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi10-processed-gene-5.11	crovir-transcript-12423	DPF2	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi2-processed-gene-16.5	crovir-transcript-672	ZMYM4	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi2-processed-gene-19.3	crovir-transcript-698	BCL3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi2-processed-gene-21.2	crovir-transcript-724	CIC	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi2-processed-gene-4.3	crovir-transcript-610	POU3F1	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi2-processed-gene-63.4	crovir-transcript-996	GRHL3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-0.3	crovir-transcript-11025	ONECUT1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-16.3	crovir-transcript-11156	TSC22D4	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-19.4	crovir-transcript-11177	MYEF2	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-23.4	crovir-transcript-11191	ZNF232	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-40.3	crovir-transcript-11316	CERS3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi3-processed-gene-52.0	crovir-transcript-11366	AEBP2	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi4-processed-gene-15.5	crovir-transcript-70	SMARCA1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi4-processed-gene-18.4	crovir-transcript-78	NR5A1	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi4-processed-gene-24.2	crovir-transcript-107	HDX	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi5-processed-gene-0.0	crovir-transcript-278	MAFK	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi5-processed-gene-28.12	crovir-transcript-509	CARHSP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi5-processed-gene-6.6	crovir-transcript-320	BHLHA15	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi6-processed-gene-2.0	crovir-transcript-11433	FOXF1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi6-processed-gene-2.1	crovir-transcript-11432	FOXC2	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi6-processed-gene-26.2	crovir-transcript-11523	TSHZ3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-0.1	crovir-transcript-1029	RERE	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi7-processed-gene-12.0	crovir-transcript-1227	ZC3H4	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-13.11	crovir-transcript-1248	FOSB	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-17.2	crovir-transcript-1318	FOXA3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-19.12	crovir-transcript-1369	ZNF618	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-23.10	crovir-transcript-1430	ZBTB43	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-24.2	crovir-transcript-1433	LMX1B	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-28.6	crovir-transcript-1495	BARHL1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-29.11	crovir-transcript-1506	ZBTB6	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-35.7	crovir-transcript-1579	GPER1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-37.0	crovir-transcript-1605	SREBF1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-40.12	crovir-transcript-1652	TFAP4	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-6.2	crovir-transcript-1101	ZGPAT	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi7-processed-gene-7.15	crovir-transcript-1130	CAMTA1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-15.16	crovir-transcript-16143	ZMYM3	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-20.15	crovir-transcript-16228	TCF25	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-20.18	crovir-transcript-16224	ZNF707	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-20.18	crovir-transcript-16224	ZNF276	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-22.6	crovir-transcript-16246	ZNF469	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-28.2	crovir-transcript-16324	ZFPM1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-3.10	crovir-transcript-15996	ZNF319	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-31.6	crovir-transcript-16385	MLXIP	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-5.6	crovir-transcript-16021	CEBPG	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi8-processed-gene-8.9	crovir-transcript-16064	HSF4	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi9-processed-gene-0.3	crovir-transcript-4106	NCOR2	TRUE	FALSE	TRUE
augustus_masked-scaffold-mi9-processed-gene-13.4	crovir-transcript-4168	HIC2	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi9-processed-gene-15.5	crovir-transcript-4186	TBX1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi9-processed-gene-18.9	crovir-transcript-4217	PATZ1	TRUE	FALSE	FALSE
augustus_masked-scaffold-mi9-processed-gene-9.7	crovir-transcript-4151	NOC4L	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-11.1	crovir-transcript-1739	CSRNP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-113.0	crovir-transcript-2026	SP4	TRUE	FALSE	TRUE
augustus_masked-scaffold-Z-processed-gene-119.2	crovir-transcript-2033	NFE2L3	TRUE	FALSE	TRUE
augustus_masked-scaffold-Z-processed-gene-121.4	crovir-transcript-2057	HOXA2	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-122.0	crovir-transcript-2051	HOXA4	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-141.0	crovir-transcript-2100	RARB	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-187.2	crovir-transcript-2244	POU6F2	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-21.3	crovir-transcript-1776	EN1	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-21.3	crovir-transcript-1776	EN2	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-246.3	crovir-transcript-2405	PCGF2	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-255.3	crovir-transcript-2448	FOXI3	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-293.3	crovir-transcript-2621	TBX21	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-294.5	crovir-transcript-2638	SP6	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-295.2	crovir-transcript-2627	NFE2L1	TRUE	TRUE	TRUE
augustus_masked-scaffold-Z-processed-gene-298.4	crovir-transcript-2645	HOXB8	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-300.2	crovir-transcript-2640	ZNF652	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-315.2	crovir-transcript-2731	THAP7	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-338.8	crovir-transcript-2850	TEAD2	TRUE	TRUE	FALSE
augustus_masked-scaffold-Z-processed-gene-350.5	crovir-transcript-2983	ZNF784	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-351.16	crovir-transcript-2960	FIZ1	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-352.2	crovir-transcript-2964	MAZ	TRUE	FALSE	FALSE
augustus_masked-scaffold-Z-processed-gene-90.3	crovir-transcript-1964	DLX5	TRUE	FALSE	FALSE
maker-scaffold-10-augustus-gene-10.21	NA	AKNA	TRUE	FALSE	FALSE
maker-scaffold-10-augustus-gene-7.15	NA	FOXJ2	TRUE	FALSE	FALSE
maker-scaffold-101-augustus-gene-0.5	NA	ZNF335	TRUE	FALSE	FALSE
maker-scaffold-11-augustus-gene-1.6	NA	PPARA	TRUE	TRUE	FALSE
maker-scaffold-11-augustus-gene-4.14	NA	NOBOX	TRUE	FALSE	FALSE
maker-scaffold-11-augustus-gene-6.16	NA	DNAJC2	TRUE	FALSE	FALSE
maker-scaffold-12-augustus-gene-1.10	NA	RXRA	TRUE	FALSE	TRUE
maker-scaffold-126-augustus-gene-0.2	NA	ZBTB7C	TRUE	FALSE	FALSE
maker-scaffold-127-augustus-gene-0.2	NA	HBP1	TRUE	FALSE	FALSE
maker-scaffold-13-augustus-gene-1.19	NA	TARDBP	TRUE	FALSE	FALSE
maker-scaffold-14-augustus-gene-1.15	NA	SMAD4	TRUE	FALSE	FALSE
maker-scaffold-15-augustus-gene-0.27	NA	PAX7	TRUE	FALSE	FALSE
maker-scaffold-161-augustus-gene-0.1	NA	THAP12	TRUE	FALSE	FALSE
maker-scaffold-1658-augustus-gene-0.1	NA	TP53	TRUE	TRUE	FALSE
maker-scaffold-18-augustus-gene-0.33	NA	USF1	TRUE	FALSE	FALSE
maker-scaffold-19-augustus-gene-0.45	NA	TLX2	TRUE	FALSE	FALSE
maker-scaffold-19-augustus-gene-0.45	NA	TLX3	TRUE	FALSE	FALSE
maker-scaffold-209-augustus-gene-0.2	NA	HSF1	TRUE	FALSE	FALSE
maker-scaffold-215-augustus-gene-0.2	NA	HIC1	TRUE	FALSE	FALSE
