#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:2530	CREB3 factors activate genes	3	5	1.86	0.00083	9606.ENSP00000329140,9606.ENSP00000364349,9606.ENSP00000481956	CREB3L2,ATF6B,CREB3L1
CL:2376	Transactivation domain of FOXO protein family, and pyramidal neuron migration	3	6	1.78	0.0012	9606.ENSP00000212015,9606.ENSP00000363377,9606.ENSP00000385824	SIRT1,FOXO4,FOXO3
CL:11962	Transcriptional regulation of white adipocyte differentiation, and retinoic acid receptor signaling pathway	6	75	0.99	0.0014	9606.ENSP00000254066,9606.ENSP00000297347,9606.ENSP00000302967,9606.ENSP00000324693,9606.ENSP00000399968,9606.ENSP00000477707	RARA,MED30,HDAC3,GRHL1,NCOA2,NR1H3
CL:26418	mostly uncharacterized, incl. Ets domain, and Transcription factor COE	6	81	0.95	0.0019	9606.ENSP00000250916,9606.ENSP00000307023,9606.ENSP00000350681,9606.ENSP00000354686,9606.ENSP00000363149,9606.ENSP00000373895	KLF16,KLF11,ELK4,ZNF652,SPDEF,POU6F1
CL:16887	Formation of RNA Pol II elongation complex, and nucleotide-excision repair complex	5	51	1.07	0.0022	9606.ENSP00000256443,9606.ENSP00000278412,9606.ENSP00000328901,9606.ENSP00000356405,9606.ENSP00000369695	CDK7,SSRP1,GTF2H2,CDC73,MLLT3
CL:12049	mixed, incl. Loss of MECP2 binding ability to the NCoR/SMRT complex, and retinoic acid receptor signaling pathway	4	28	1.24	0.0027	9606.ENSP00000254066,9606.ENSP00000302967,9606.ENSP00000324693,9606.ENSP00000477707	RARA,HDAC3,GRHL1,NR1H3
CL:5865	mixed, incl. Repression of WNT target genes, and beta-catenin-TCF complex	4	29	1.22	0.0029	9606.ENSP00000272937,9606.ENSP00000304169,9606.ENSP00000326371,9606.ENSP00000365682	HES6,PITX2,FOXC2,TLE1
CL:11392	NuRD complex	3	12	1.48	0.0042	9606.ENSP00000353463,9606.ENSP00000357644,9606.ENSP00000362649	GATAD2A,GATAD2B,HDAC1
CL:12050	Loss of MECP2 binding ability to the NCoR/SMRT complex, and retinoic acid receptor signaling pathway	3	18	1.3	0.0098	9606.ENSP00000254066,9606.ENSP00000302967,9606.ENSP00000477707	RARA,HDAC3,NR1H3
CL:16890	mixed, incl. positive regulation of transcription elongation from RNA polymerase II promoter, and EAF family	3	18	1.3	0.0098	9606.ENSP00000278412,9606.ENSP00000356405,9606.ENSP00000369695	SSRP1,CDC73,MLLT3
CL:17767	mixed, incl. Circadian rhythm, and PAR basic leucine zipper protein	4	45	1.03	0.0098	9606.ENSP00000204517,9606.ENSP00000261523,9606.ENSP00000308741,9606.ENSP00000327025	TFAP4,RORA,CLOCK,RORC
CL:17775	Circadian rhythm	3	19	1.28	0.0102	9606.ENSP00000261523,9606.ENSP00000308741,9606.ENSP00000327025	RORA,CLOCK,RORC
CL:27430	mixed, incl. Fructosamine kinase, and Dystonia	3	19	1.28	0.0102	9606.ENSP00000269394,9606.ENSP00000288955,9606.ENSP00000337862	ZNF750,GRHL3,OVOL1
CL:26517	mostly uncharacterized, incl. Glutamate carboxypeptidase 2-like, and NUDIX domain	3	22	1.22	0.0141	9606.ENSP00000350681,9606.ENSP00000354686,9606.ENSP00000363149	ELK4,ZNF652,SPDEF
CL:5698	Wnt signaling pathway, and TGF-beta signaling pathway	7	186	0.66	0.0141	9606.ENSP00000264634,9606.ENSP00000272937,9606.ENSP00000304169,9606.ENSP00000326371,9606.ENSP00000361107,9606.ENSP00000365682,9606.ENSP00000367797	WNT5A,HES6,PITX2,FOXC2,BMPR1A,TLE1,SKI
CL:11644	AWS domain, and PHD-finger	2	5	1.68	0.0159	9606.ENSP00000364550,9606.ENSP00000432786	KDM5C,KDM2A
CL:23540	SREBP-SCAP-Insig complex, and Peptidase M50	2	6	1.6	0.0200	9606.ENSP00000348069,9606.ENSP00000354476	SREBF1,SREBF2
CL:2484	transcription factor AP-1 complex, and Fos-related antigen 2	2	6	1.6	0.0200	9606.ENSP00000245919,9606.ENSP00000306245	FOSB,FOS
CL:29530	mixed, incl. TRAM1-like protein, and regulation of branching involved in salivary gland morphogenesis	2	6	1.6	0.0200	9606.ENSP00000362760,9606.ENSP00000362763	ZBTB26,ZBTB6
CL:6206	mixed, incl. DNA methylation or demethylation, and Transcriptional regulation of pluripotent stem cells	5	104	0.76	0.0212	9606.ENSP00000245479,9606.ENSP00000263707,9606.ENSP00000333097,9606.ENSP00000376611,9606.ENSP00000479617	SOX9,TFCP2L1,FIGLA,TDG,UHRF1
CL:2862	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	2	7	1.54	0.0228	9606.ENSP00000367545,9606.ENSP00000403902	TP73,PPP1R13L
CL:5699	Wnt signaling pathway, and PET domain	5	112	0.73	0.0265	9606.ENSP00000264634,9606.ENSP00000272937,9606.ENSP00000304169,9606.ENSP00000326371,9606.ENSP00000365682	WNT5A,HES6,PITX2,FOXC2,TLE1
CL:16891	positive regulation of transcription elongation from RNA polymerase II promoter, and SSRP1 domain	2	10	1.38	0.0364	9606.ENSP00000278412,9606.ENSP00000356405	SSRP1,CDC73
CL:6368	DNA methylation on cytosine, and pyrimidine-specific mismatch base pair DNA N-glycosylase activity	2	10	1.38	0.0364	9606.ENSP00000376611,9606.ENSP00000479617	TDG,UHRF1
CL:11830	SWI/SNF complex	2	11	1.34	0.0405	9606.ENSP00000265773,9606.ENSP00000395654	SMARCA2,SMARCA4
CL:13871	regulation of transcription from RNA polymerase II promoter in response to hypoxia	2	11	1.34	0.0405	9606.ENSP00000351407,9606.ENSP00000366898	ARNT,HIF3A
CL:16739	RNA Polymerase II HIV Promoter Escape	3	39	0.97	0.0405	9606.ENSP00000225504,9606.ENSP00000355051,9606.ENSP00000367406	SUPT4H1,TAF13,TAF2
CL:16786	transcription factor TFTC complex, and TAFII28-like protein	2	11	1.34	0.0405	9606.ENSP00000355051,9606.ENSP00000367406	TAF13,TAF2
CL:12111	mixed, incl. P-type trefoil, chordata, and estrogen response element binding	2	12	1.3	0.0424	9606.ENSP00000360526,9606.ENSP00000361066	ZNF217,NCOA3
CL:6315	mixed, incl. Transcriptional regulation of pluripotent stem cells, and DNA methylation on cytosine	3	41	0.95	0.0424	9606.ENSP00000263707,9606.ENSP00000376611,9606.ENSP00000479617	TFCP2L1,TDG,UHRF1
CL:11116	nucleosome, and histone deacetylase complex	6	192	0.58	0.0434	9606.ENSP00000264010,9606.ENSP00000325690,9606.ENSP00000353463,9606.ENSP00000357644,9606.ENSP00000362649,9606.ENSP00000380136	CTCF,CARM1,GATAD2A,GATAD2B,HDAC1,KAT6A
CL:5188	mixed, incl. forebrain neuron fate commitment, and neuron fate specification	3	42	0.94	0.0434	9606.ENSP00000305244,9606.ENSP00000344479,9606.ENSP00000380093	IRX1,NR4A2,SOX10
CL:17778	Circadian rhythm	2	13	1.27	0.0463	9606.ENSP00000261523,9606.ENSP00000308741	RORA,CLOCK
