Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,Accession  
"Protobothrops flavoviridis phospholipase A2 precursor (PfIIEPLA2) gene, complete cds; and ovarian tumor domain-containing protein 3 (OTUD3) gene, exon 8 and partial cds",Protobothrops flavoviridis,NA,88087,183,183,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM488539.1?report=genbank&log$=nucltop&blast_rank=11&RID=J83PRRHP013"",""KM488539.1"")"
"Protobothrops flavoviridis phospholipase A2 precursor (PfPLA-B') and phospholipase A2 precursor (PfIIEPLA2) genes, complete cds; and ovarian tumor domain-containing protein 3 (OTUD3) gene, exon 8 and partial cds",Protobothrops flavoviridis,NA,88087,183,183,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM488538.1?report=genbank&log$=nucltop&blast_rank=12&RID=J83PRRHP013"",""KM488538.1"")"
"PREDICTED: Crotalus tigris basic phospholipase A2 PLA-B-like (LOC120319094), transcript variant X3, mRNA",Crotalus tigris,Tiger rattlesnake,88082,97.8,97.8,54%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367470.1?report=genbank&log$=nucltop&blast_rank=13&RID=J83PRRHP013"",""XM_039367470.1"")"
"PREDICTED: Crotalus tigris basic phospholipase A2 PLA-B-like (LOC120319094), transcript variant X1, mRNA",Crotalus tigris,Tiger rattlesnake,88082,97.8,97.8,54%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367467.1?report=genbank&log$=nucltop&blast_rank=14&RID=J83PRRHP013"",""XM_039367467.1"")"
"PREDICTED: Crotalus tigris uncharacterized LOC120314137 (LOC120314137), ncRNA",Crotalus tigris,Tiger rattlesnake,88082,77.0,77.0,50%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_005558352.1?report=genbank&log$=nucltop&blast_rank=15&RID=J83PRRHP013"",""XR_005558352.1"")"
"Bothrops moojeni phospholipase A2 group IIE mRNA, partial cds",Bothrops moojeni,Brazilian lancehead,98334,68.0,68.0,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG132008.1?report=genbank&log$=nucltop&blast_rank=16&RID=J83PRRHP013"",""MG132008.1"")"
"PREDICTED: Protobothrops mucrosquamatus group IIE secretory phospholipase A2-like (LOC107291370), mRNA",Protobothrops mucrosquamatus,NA,103944,59.0,59.0,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015820366.1?report=genbank&log$=nucltop&blast_rank=17&RID=J83PRRHP013"",""XM_015820366.1"")"
"PREDICTED: Crotalus tigris group IIE secretory phospholipase A2-like (LOC120319091), transcript variant X2, mRNA",Crotalus tigris,Tiger rattlesnake,88082,59.0,59.0,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367457.1?report=genbank&log$=nucltop&blast_rank=18&RID=J83PRRHP013"",""XM_039367457.1"")"
"PREDICTED: Crotalus tigris group IIE secretory phospholipase A2-like (LOC120319091), transcript variant X1, mRNA",Crotalus tigris,Tiger rattlesnake,88082,59.0,59.0,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367456.1?report=genbank&log$=nucltop&blast_rank=19&RID=J83PRRHP013"",""XM_039367456.1"")"
"Vipera anatolica senliki phospholipase A2 4 mRNA, partial cds",Vipera anatolica senliki,NA,2604287,57.2,57.2,27%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN831293.1?report=genbank&log$=nucltop&blast_rank=20&RID=J83PRRHP013"",""MN831293.1"")"
"Vipera anatolica senliki phospholipase A2 3 mRNA, complete cds",Vipera anatolica senliki,NA,2604287,57.2,57.2,27%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN831292.1?report=genbank&log$=nucltop&blast_rank=21&RID=J83PRRHP013"",""MN831292.1"")"
"PREDICTED: Pantherophis guttatus group IIE secretory phospholipase A2-like (LOC117669665), mRNA",Pantherophis guttatus,NA,94885,56.3,56.3,29%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034424287.1?report=genbank&log$=nucltop&blast_rank=22&RID=J83PRRHP013"",""XM_034424287.1"")"
"PREDICTED: Thamnophis sirtalis group IIE secretory phospholipase A2-like (LOC106552964), mRNA",Thamnophis sirtalis,NA,35019,56.3,56.3,29%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_014071370.1?report=genbank&log$=nucltop&blast_rank=23&RID=J83PRRHP013"",""XM_014071370.1"")"
"PREDICTED: Crotalus tigris basic phospholipase A2 vurtoxin-like (LOC120319093), transcript variant X3, mRNA",Crotalus tigris,Tiger rattlesnake,88082,54.5,54.5,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367466.1?report=genbank&log$=nucltop&blast_rank=24&RID=J83PRRHP013"",""XM_039367466.1"")"
"PREDICTED: Crotalus tigris basic phospholipase A2 vurtoxin-like (LOC120319093), transcript variant X2, mRNA",Crotalus tigris,Tiger rattlesnake,88082,54.5,54.5,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367465.1?report=genbank&log$=nucltop&blast_rank=25&RID=J83PRRHP013"",""XM_039367465.1"")"
"PREDICTED: Crotalus tigris basic phospholipase A2 vurtoxin-like (LOC120319093), transcript variant X1, mRNA",Crotalus tigris,Tiger rattlesnake,88082,54.5,54.5,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367464.1?report=genbank&log$=nucltop&blast_rank=26&RID=J83PRRHP013"",""XM_039367464.1"")"
"Boiga irregularis clone Guam_Birreg_PLA2_1 phospholipase A2 mRNA, partial cds",Boiga irregularis,brown tree snake,92519,50.0,50.0,28%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF948039.1?report=genbank&log$=nucltop&blast_rank=27&RID=J83PRRHP013"",""MF948039.1"")"
"PREDICTED: Thamnophis elegans group IIE secretory phospholipase A2-like (LOC116518744), mRNA",Thamnophis elegans,Western terrestrial garter snake,35005,47.3,47.3,29%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032232261.1?report=genbank&log$=nucltop&blast_rank=28&RID=J83PRRHP013"",""XM_032232261.1"")"
"PREDICTED: Pseudonaja textilis group IIE secretory phospholipase A2-like (LOC113449729), mRNA",Pseudonaja textilis,NA,8673,42.8,42.8,29%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_026720853.1?report=genbank&log$=nucltop&blast_rank=29&RID=J83PRRHP013"",""XM_026720853.1"")"



		


