maker-scaffold-Z-augustus-gene-50.3	ZEB1
maker-scaffold-ma6-augustus-gene-148.8	NR1H4
maker-scaffold-ma6-augustus-gene-141.11	ELK3
maker-scaffold-ma6-augustus-gene-129.4	ALX1
maker-scaffold-ma6-augustus-gene-116.7	E2F7
maker-scaffold-ma6-augustus-gene-1.5	GATA3
maker-scaffold-ma5-augustus-gene-78.10	ANKRD1
maker-scaffold-ma5-augustus-gene-42.10	PCBD1
maker-scaffold-ma5-augustus-gene-38.6	SIRT1
maker-scaffold-ma5-augustus-gene-285.11	SMARCC1
maker-scaffold-ma5-augustus-gene-278.6	PIAS2
maker-scaffold-ma5-augustus-gene-254.12	SKIL
maker-scaffold-ma5-augustus-gene-23.9	RELB
maker-scaffold-ma5-augustus-gene-224.5	WWTR1
maker-scaffold-ma5-augustus-gene-193.7	HES6
maker-scaffold-ma5-augustus-gene-163.21	ANKRD2
maker-scaffold-ma5-augustus-gene-162.6	PPRC1
maker-scaffold-ma5-augustus-gene-156.12	SUFU
maker-scaffold-ma5-augustus-gene-143.5	MXI1
maker-scaffold-ma4-augustus-gene-99.5	FHL2
maker-scaffold-ma4-augustus-gene-92.7	TFDP1
maker-scaffold-ma4-augustus-gene-34.1	KLF12
maker-scaffold-ma4-augustus-gene-338.2	SLC26A3
maker-scaffold-ma4-augustus-gene-325.22	MED17
maker-scaffold-ma4-augustus-gene-319.6	YAP1
maker-scaffold-ma4-augustus-gene-296.9	CDX2
maker-scaffold-ma4-augustus-gene-286.6	RFXAP
maker-scaffold-ma4-augustus-gene-270.12	TAF13
maker-scaffold-ma4-augustus-gene-265.16	NFKBIZ
maker-scaffold-ma4-augustus-gene-245.14	CREG1
maker-scaffold-ma4-augustus-gene-241.5	POU1F1
maker-scaffold-ma4-augustus-gene-215.3	GABPA
maker-scaffold-ma4-augustus-gene-2.3	CTBP1
maker-scaffold-ma4-augustus-gene-192.3	DNMT3B
maker-scaffold-ma4-augustus-gene-184.6	MED14
maker-scaffold-ma4-augustus-gene-183.6	BCOR
maker-scaffold-ma4-augustus-gene-173.9	NR0B1
maker-scaffold-ma4-augustus-gene-163.13	ZFX
maker-scaffold-ma4-augustus-gene-143.3	TBL1X
maker-scaffold-ma4-augustus-gene-113.5	UBE3A
maker-scaffold-ma3-augustus-gene-96.4	RNF4
maker-scaffold-ma3-augustus-gene-92.11	COPS5
maker-scaffold-ma3-augustus-gene-89.6	NCOA2
maker-scaffold-ma3-augustus-gene-87.7	MSC
maker-scaffold-ma3-augustus-gene-67.3	RUNX1T1
maker-scaffold-ma3-augustus-gene-59.14	MTDH
maker-scaffold-ma3-augustus-gene-587.7	TAF4
maker-scaffold-ma3-augustus-gene-549.4	NCOA3
maker-scaffold-ma3-augustus-gene-548.9	ZMYND8
maker-scaffold-ma3-augustus-gene-526.8	NCOA6
maker-scaffold-ma3-augustus-gene-521.4	CBFA2T2
maker-scaffold-ma3-augustus-gene-510.5	ELF3
maker-scaffold-ma3-augustus-gene-50.1	ZFPM2
maker-scaffold-ma3-augustus-gene-484.8	ELK4
maker-scaffold-ma3-augustus-gene-483.11	RFXANK
maker-scaffold-ma3-augustus-gene-471.10	PPARD
maker-scaffold-ma3-augustus-gene-470.12	TAF11
maker-scaffold-ma3-augustus-gene-469.7	HMGA1
maker-scaffold-ma3-augustus-gene-46.9	ENY2
maker-scaffold-ma3-augustus-gene-448.4	DMAP1
maker-scaffold-ma3-augustus-gene-417.8	MYSM1
maker-scaffold-ma3-augustus-gene-377.6	BCL10
maker-scaffold-ma3-augustus-gene-36.8	MED30
maker-scaffold-ma3-augustus-gene-349.12	DR1
maker-scaffold-ma3-augustus-gene-329.4	LHX9
maker-scaffold-ma3-augustus-gene-289.5	DHX9
maker-scaffold-ma3-augustus-gene-28.6	ZHX1
maker-scaffold-ma3-augustus-gene-271.8	HDAC1
maker-scaffold-ma3-augustus-gene-271.8	HDAC3
maker-scaffold-ma3-augustus-gene-262.10	TADA2B
maker-scaffold-ma3-augustus-gene-187.10	TFAP2A
maker-scaffold-ma3-augustus-gene-171.14	GMNN
maker-scaffold-ma3-augustus-gene-132.9	TGIF1
maker-scaffold-ma3-augustus-gene-127.3	RBBP8
maker-scaffold-ma3-augustus-gene-122.7	TAF4B
maker-scaffold-ma3-augustus-gene-122.5	KCTD1
maker-scaffold-ma3-augustus-gene-105.14	SOX17
maker-scaffold-ma2-augustus-gene-92.7	NR2C2
maker-scaffold-ma2-augustus-gene-80.4	BHLHE40
maker-scaffold-ma2-augustus-gene-742.7	SUB1
maker-scaffold-ma2-augustus-gene-705.16	CDK7
maker-scaffold-ma2-augustus-gene-704.7	JMY
maker-scaffold-ma2-augustus-gene-694.11	ZNF366
maker-scaffold-ma2-augustus-gene-673.5	NR2F1
maker-scaffold-ma2-augustus-gene-601.2	TLE4
maker-scaffold-ma2-augustus-gene-569.3	NFIB
maker-scaffold-ma2-augustus-gene-567.5	PSIP1
maker-scaffold-ma2-augustus-gene-524.10	SUPT20H
maker-scaffold-ma2-augustus-gene-487.3	TBX15
maker-scaffold-ma2-augustus-gene-474.12	ZNF653
maker-scaffold-ma2-augustus-gene-462.6	CARM1
maker-scaffold-ma2-augustus-gene-457.18	GTF2F1
maker-scaffold-ma2-augustus-gene-448.16	FOXP3
maker-scaffold-ma2-augustus-gene-446.24	MECP2
maker-scaffold-ma2-augustus-gene-446.22	HCFC1
maker-scaffold-ma2-augustus-gene-432.14	ABT1
maker-scaffold-ma2-augustus-gene-415.6	NFE2
maker-scaffold-ma2-augustus-gene-408.15	DDIT3
maker-scaffold-ma2-augustus-gene-403.4	NAB2
maker-scaffold-ma2-augustus-gene-397.3	HDAC7
maker-scaffold-ma2-augustus-gene-364.11	SMARCC2
maker-scaffold-ma2-augustus-gene-298.7	MYOCD
maker-scaffold-ma2-augustus-gene-242.4	NKX2-5
maker-scaffold-ma2-augustus-gene-235.4	TCERG1
maker-scaffold-ma2-augustus-gene-21.17	TADA3
maker-scaffold-ma2-augustus-gene-185.10	MED7
maker-scaffold-ma2-augustus-gene-163.14	HYAL2
maker-scaffold-ma2-augustus-gene-140.8	PPARG
maker-scaffold-ma2-augustus-gene-106.6	RUVBL1
maker-scaffold-ma2-augustus-gene-10.8	POU3F2
maker-scaffold-ma1-augustus-gene-980.7	NCOA1
maker-scaffold-ma1-augustus-gene-974.12	GATA4
maker-scaffold-ma1-augustus-gene-947.8	GTF2A1L
maker-scaffold-ma1-augustus-gene-918.11	TRERF1
maker-scaffold-ma1-augustus-gene-916.11	RCOR3
maker-scaffold-ma1-augustus-gene-914.9	BATF3
maker-scaffold-ma1-augustus-gene-914.14	ATF3
maker-scaffold-ma1-augustus-gene-89.8	SETD3
maker-scaffold-ma1-augustus-gene-87.7	YY1
maker-scaffold-ma1-augustus-gene-853.2	TFB2M
maker-scaffold-ma1-augustus-gene-851.15	HNRNPU
maker-scaffold-ma1-augustus-gene-850.3	ZBTB18
maker-scaffold-ma1-augustus-gene-834.5	TAF5L
maker-scaffold-ma1-augustus-gene-82.2	RCOR1
maker-scaffold-ma1-augustus-gene-810.4	ARID1B
maker-scaffold-ma1-augustus-gene-776.3	TBPL1
maker-scaffold-ma1-augustus-gene-771.4	MED23
maker-scaffold-ma1-augustus-gene-758.5	HSF2
maker-scaffold-ma1-augustus-gene-699.7	TBX18
maker-scaffold-ma1-augustus-gene-67.6	ESR2
maker-scaffold-ma1-augustus-gene-665.4	ZNF451
maker-scaffold-ma1-augustus-gene-595.2	NPM1
maker-scaffold-ma1-augustus-gene-563.5	TFAP2B
maker-scaffold-ma1-augustus-gene-558.4	SUPT3H
maker-scaffold-ma1-augustus-gene-549.10	RB1
maker-scaffold-ma1-augustus-gene-517.6	CREB1
maker-scaffold-ma1-augustus-gene-461.5	ATF2
maker-scaffold-ma1-augustus-gene-460.8	CIR1
maker-scaffold-ma1-augustus-gene-439.11	SMARCB1
maker-scaffold-ma1-augustus-gene-370.5	TFCP2L1
maker-scaffold-ma1-augustus-gene-345.11	FEV
maker-scaffold-ma1-augustus-gene-341.10	MAX
maker-scaffold-ma1-augustus-gene-318.18	HINFP
maker-scaffold-ma1-augustus-gene-31.11	MED26
maker-scaffold-ma1-augustus-gene-296.4	MYOD1
maker-scaffold-ma1-augustus-gene-242.9	E2F8
maker-scaffold-ma1-augustus-gene-240.2	CCND1
maker-scaffold-ma1-augustus-gene-205.14	NR1H3
maker-scaffold-ma1-augustus-gene-193.19	MED6
maker-scaffold-ma1-augustus-gene-168.2	MEIS2
maker-scaffold-ma1-augustus-gene-132.9	ESRRB
maker-scaffold-ma1-augustus-gene-1014.10	MYBBP1A
maker-scaffold-ma1-augustus-gene-1008.10	C1QBP
maker-scaffold-407-augustus-gene-0.1	GMEB2
maker-scaffold-39-augustus-gene-0.5	MED13
maker-scaffold-177-augustus-gene-0.2	SND1
maker-scaffold-13-augustus-gene-0.18	PEX14
maker-scaffold-12-augustus-gene-1.10	RXRA
maker-scaffold-10-augustus-gene-4.5	PPARGC1A
augustus_masked-scaffold-Z-processed-gene-355.6	SRCAP
augustus_masked-scaffold-Z-processed-gene-295.2	NFE2L1
augustus_masked-scaffold-Z-processed-gene-134.2	KAT2B
augustus_masked-scaffold-Z-processed-gene-119.2	NFE2L3
augustus_masked-scaffold-Z-processed-gene-113.0	SP4
augustus_masked-scaffold-Z-processed-gene-109.1	HDAC9
augustus_masked-scaffold-mi9-processed-gene-0.3	NCOR2
augustus_masked-scaffold-mi8-processed-gene-8.9	HSF4
augustus_masked-scaffold-mi8-processed-gene-15.4	MED12
augustus_masked-scaffold-mi7-processed-gene-39.4	CIITA
augustus_masked-scaffold-mi7-processed-gene-28.5	MED27
augustus_masked-scaffold-mi7-processed-gene-0.1	RERE
augustus_masked-scaffold-mi5-processed-gene-6.3	TRRAP
augustus_masked-scaffold-mi5-processed-gene-14.7	MKL2
augustus_masked-scaffold-mi4-processed-gene-8.4	RLIM
augustus_masked-scaffold-mi4-processed-gene-18.4	NR5A1
augustus_masked-scaffold-mi3-processed-gene-52.0	AEBP2
augustus_masked-scaffold-mi2-processed-gene-4.3	POU3F1
augustus_masked-scaffold-mi2-processed-gene-32.2	NFKBID
augustus_masked-scaffold-mi10-processed-gene-11.4	GON4L
augustus_masked-scaffold-mi1-processed-gene-30.0	AEBP1
augustus_masked-scaffold-ma7-processed-gene-56.0	PITX2
augustus_masked-scaffold-ma6-processed-gene-206.6	KDM5A
augustus_masked-scaffold-ma6-processed-gene-10.6	BHLHE41
augustus_masked-scaffold-ma5-processed-gene-28.3	NFKB2
augustus_masked-scaffold-ma5-processed-gene-161.4	LDB1
augustus_masked-scaffold-ma5-processed-gene-11.2	ARID5B
augustus_masked-scaffold-ma4-processed-gene-318.7	BIRC2
augustus_masked-scaffold-ma3-processed-gene-541.2	ZHX3
augustus_masked-scaffold-ma3-processed-gene-514.1	KDM5B
augustus_masked-scaffold-ma3-processed-gene-300.3	ATF6
augustus_masked-scaffold-ma3-processed-gene-28.3	ZHX2
augustus_masked-scaffold-ma3-processed-gene-176.3	ID4
augustus_masked-scaffold-ma2-processed-gene-624.4	NFIL3
augustus_masked-scaffold-ma2-processed-gene-56.2	TMF1
augustus_masked-scaffold-ma2-processed-gene-460.1	SMARCA2
augustus_masked-scaffold-ma2-processed-gene-460.1	SMARCA4
augustus_masked-scaffold-ma2-processed-gene-249.0	PPARGC1B
augustus_masked-scaffold-ma1-processed-gene-61.6	SIX3
augustus_masked-scaffold-ma1-processed-gene-604.2	E2F6
augustus_masked-scaffold-ma1-processed-gene-535.0	HDAC4
augustus_masked-scaffold-ma1-processed-gene-26.4	JUN
augustus_masked-scaffold-ma1-processed-gene-16.4	TCF3
augustus_masked-scaffold-ma1-processed-gene-136.0	PROX1
augustus_masked-scaffold-ma1-processed-gene-1037.5	LHX1
augustus_masked-scaffold-ma1-processed-gene-1036.6	TADA2A
augustus_masked-scaffold-ma1-processed-gene-1028.1	MNT
augustus_masked-scaffold-962-processed-gene-0.0	DAXX
augustus_masked-scaffold-449-processed-gene-0.0	SIRT6
augustus_masked-scaffold-435-processed-gene-0.0	NRL
augustus_masked-scaffold-320-processed-gene-0.0	PIAS4
augustus_masked-scaffold-178-processed-gene-0.0	GLMP
augustus_masked-scaffold-170-processed-gene-0.1	HOMEZ
augustus_masked-scaffold-123-processed-gene-0.2	SOX12
augustus_masked-scaffold-123-processed-gene-0.2	SOX4
augustus_masked-scaffold-11-processed-gene-3.2	TRIM32
