userId	geneSymbol	geneName	entrezgene	gLink
Ccdc68	Ccdc68	coiled-coil domain containing 68	381175	https://www.ncbi.nlm.nih.gov/gene/?term=381175
Zfp521	Zfp521	zinc finger protein 521	225207	https://www.ncbi.nlm.nih.gov/gene/?term=225207
Col12a1	Col12a1	collagen, type XII, alpha 1	12816	https://www.ncbi.nlm.nih.gov/gene/?term=12816
Anks6	Anks6	ankyrin repeat and sterile alpha motif domain containing 6	75691	https://www.ncbi.nlm.nih.gov/gene/?term=75691
Adamts16	Adamts16	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16	271127	https://www.ncbi.nlm.nih.gov/gene/?term=271127
Map2	Map2	microtubule-associated protein 2	17756	https://www.ncbi.nlm.nih.gov/gene/?term=17756
Raet1e	Raet1e	retinoic acid early transcript 1E	379043	https://www.ncbi.nlm.nih.gov/gene/?term=379043
Ttyh2	Ttyh2	tweety family member 2	117160	https://www.ncbi.nlm.nih.gov/gene/?term=117160
Tg	Tg	thyroglobulin	21819	https://www.ncbi.nlm.nih.gov/gene/?term=21819
Pcdhb22	Pcdhb22	protocadherin beta 22	93893	https://www.ncbi.nlm.nih.gov/gene/?term=93893
Cenpv	Cenpv	centromere protein V	73139	https://www.ncbi.nlm.nih.gov/gene/?term=73139
Gpr146	Gpr146	G protein-coupled receptor 146	80290	https://www.ncbi.nlm.nih.gov/gene/?term=80290
Fut10	Fut10	fucosyltransferase 10	171167	https://www.ncbi.nlm.nih.gov/gene/?term=171167
Pag1	Pag1	phosphoprotein associated with glycosphingolipid microdomains 1	94212	https://www.ncbi.nlm.nih.gov/gene/?term=94212
Prr15	Prr15	proline rich 15	78004	https://www.ncbi.nlm.nih.gov/gene/?term=78004
Camk2n1	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1	66259	https://www.ncbi.nlm.nih.gov/gene/?term=66259
Sacs	Sacs	sacsin	50720	https://www.ncbi.nlm.nih.gov/gene/?term=50720
Nfia	Nfia	nuclear factor I/A	18027	https://www.ncbi.nlm.nih.gov/gene/?term=18027
Hmcn1	Hmcn1	hemicentin 1	545370	https://www.ncbi.nlm.nih.gov/gene/?term=545370
Pianp	Pianp	PILR alpha associated neural protein	319352	https://www.ncbi.nlm.nih.gov/gene/?term=319352
Dcdc2a	Dcdc2a	doublecortin domain containing 2a	195208	https://www.ncbi.nlm.nih.gov/gene/?term=195208
Ackr3	Ackr3	atypical chemokine receptor 3	12778	https://www.ncbi.nlm.nih.gov/gene/?term=12778
Ddit4l	Ddit4l	DNA-damage-inducible transcript 4-like	73284	https://www.ncbi.nlm.nih.gov/gene/?term=73284
Gm26782	Gm26782	predicted gene, 26782	102640338	https://www.ncbi.nlm.nih.gov/gene/?term=102640338
Mest	Mest	mesoderm specific transcript	17294	https://www.ncbi.nlm.nih.gov/gene/?term=17294
Dpysl5	Dpysl5	dihydropyrimidinase-like 5	65254	https://www.ncbi.nlm.nih.gov/gene/?term=65254
Gjb2	Gjb2	gap junction protein, beta 2	14619	https://www.ncbi.nlm.nih.gov/gene/?term=14619
Atl3	Atl3	atlastin GTPase 3	109168	https://www.ncbi.nlm.nih.gov/gene/?term=109168
Tspan12	Tspan12	tetraspanin 12	269831	https://www.ncbi.nlm.nih.gov/gene/?term=269831
Emp3	Emp3	epithelial membrane protein 3	13732	https://www.ncbi.nlm.nih.gov/gene/?term=13732
Zbtb10	Zbtb10	zinc finger and BTB domain containing 10	229055	https://www.ncbi.nlm.nih.gov/gene/?term=229055
Ptchd4	Ptchd4	patched domain containing 4	627626	https://www.ncbi.nlm.nih.gov/gene/?term=627626
Pzp	Pzp	PZP, alpha-2-macroglobulin like	11287	https://www.ncbi.nlm.nih.gov/gene/?term=11287
Sec1	Sec1	secretory blood group 1	56546	https://www.ncbi.nlm.nih.gov/gene/?term=56546
Nacad	Nacad	NAC alpha domain containing	192950	https://www.ncbi.nlm.nih.gov/gene/?term=192950
Eml1	Eml1	echinoderm microtubule associated protein like 1	68519	https://www.ncbi.nlm.nih.gov/gene/?term=68519
Dcp1b	Dcp1b	decapping mRNA 1B	319618	https://www.ncbi.nlm.nih.gov/gene/?term=319618
Cyp26b1	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1	232174	https://www.ncbi.nlm.nih.gov/gene/?term=232174
Vgll3	Vgll3	vestigial like family member 3	73569	https://www.ncbi.nlm.nih.gov/gene/?term=73569
Fam20c	Fam20c	family with sequence similarity 20, member C	80752	https://www.ncbi.nlm.nih.gov/gene/?term=80752
Kng1	Kng1	kininogen 1	16644	https://www.ncbi.nlm.nih.gov/gene/?term=16644
Acta2	Acta2	actin, alpha 2, smooth muscle, aorta	11475	https://www.ncbi.nlm.nih.gov/gene/?term=11475
Glipr1	Glipr1	GLI pathogenesis-related 1 (glioma)	73690	https://www.ncbi.nlm.nih.gov/gene/?term=73690
Cxcl17	Cxcl17	chemokine (C-X-C motif) ligand 17	232983	https://www.ncbi.nlm.nih.gov/gene/?term=232983
Sprr2g	Sprr2g	small proline-rich protein 2G	20761	https://www.ncbi.nlm.nih.gov/gene/?term=20761
Mmd	Mmd	monocyte to macrophage differentiation-associated	67468	https://www.ncbi.nlm.nih.gov/gene/?term=67468
Smarcd3	Smarcd3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	66993	https://www.ncbi.nlm.nih.gov/gene/?term=66993
Grb14	Grb14	growth factor receptor bound protein 14	50915	https://www.ncbi.nlm.nih.gov/gene/?term=50915
Plxnb1	Plxnb1	plexin B1	235611	https://www.ncbi.nlm.nih.gov/gene/?term=235611
Zfp57	Zfp57	zinc finger protein 57	22715	https://www.ncbi.nlm.nih.gov/gene/?term=22715
Ttc6	Ttc6	tetratricopeptide repeat domain 6	70846	https://www.ncbi.nlm.nih.gov/gene/?term=70846
AI506816	AI506816	expressed sequence AI506816	433855	https://www.ncbi.nlm.nih.gov/gene/?term=433855
mt-Rnr2	mt-Rnr2	16S ribosomal RNA	17725	https://www.ncbi.nlm.nih.gov/gene/?term=17725
Osmr	Osmr	oncostatin M receptor	18414	https://www.ncbi.nlm.nih.gov/gene/?term=18414
Man1c1	Man1c1	mannosidase, alpha, class 1C, member 1	230815	https://www.ncbi.nlm.nih.gov/gene/?term=230815
Ltbp1	Ltbp1	latent transforming growth factor beta binding protein 1	268977	https://www.ncbi.nlm.nih.gov/gene/?term=268977
Tuba1a	Tuba1a	tubulin, alpha 1A	22142	https://www.ncbi.nlm.nih.gov/gene/?term=22142
2310043M15Rik	2310043M15Rik	RIKEN cDNA 2310043M15 gene	102633000	https://www.ncbi.nlm.nih.gov/gene/?term=102633000
Col16a1	Col16a1	collagen, type XVI, alpha 1	107581	https://www.ncbi.nlm.nih.gov/gene/?term=107581
Slc1a3	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	20512	https://www.ncbi.nlm.nih.gov/gene/?term=20512
Cebpd	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	12609	https://www.ncbi.nlm.nih.gov/gene/?term=12609
Postn	Postn	periostin, osteoblast specific factor	50706	https://www.ncbi.nlm.nih.gov/gene/?term=50706
Tmcc2	Tmcc2	NA	68875	https://www.ncbi.nlm.nih.gov/gene/?term=68875
Pxylp1	Pxylp1	2-phosphoxylose phosphatase 1	235534	https://www.ncbi.nlm.nih.gov/gene/?term=235534
Apela	Apela	apelin receptor early endogenous ligand	100038489	https://www.ncbi.nlm.nih.gov/gene/?term=100038489
Cldn2	Cldn2	claudin 2	12738	https://www.ncbi.nlm.nih.gov/gene/?term=12738
Cd109	Cd109	CD109 antigen	235505	https://www.ncbi.nlm.nih.gov/gene/?term=235505
Col6a2	Col6a2	collagen, type VI, alpha 2	12834	https://www.ncbi.nlm.nih.gov/gene/?term=12834
Gem	Gem	GTP binding protein (gene overexpressed in skeletal muscle)	14579	https://www.ncbi.nlm.nih.gov/gene/?term=14579
Cul7	Cul7	cullin 7	66515	https://www.ncbi.nlm.nih.gov/gene/?term=66515
Cacul1	Cacul1	CDK2 associated, cullin domain 1	78832	https://www.ncbi.nlm.nih.gov/gene/?term=78832
Enpep	Enpep	glutamyl aminopeptidase	13809	https://www.ncbi.nlm.nih.gov/gene/?term=13809
Aldh1a1	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	11668	https://www.ncbi.nlm.nih.gov/gene/?term=11668
Nt5e	Nt5e	5' nucleotidase, ecto	23959	https://www.ncbi.nlm.nih.gov/gene/?term=23959
Tgfb2	Tgfb2	transforming growth factor, beta 2	21808	https://www.ncbi.nlm.nih.gov/gene/?term=21808
Cyp1b1	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	13078	https://www.ncbi.nlm.nih.gov/gene/?term=13078
Cfi	Cfi	complement component factor i	12630	https://www.ncbi.nlm.nih.gov/gene/?term=12630
Serpina10	Serpina10	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	217847	https://www.ncbi.nlm.nih.gov/gene/?term=217847
Ccl2	Ccl2	chemokine (C-C motif) ligand 2	20296	https://www.ncbi.nlm.nih.gov/gene/?term=20296
Opn5	Opn5	opsin 5	353344	https://www.ncbi.nlm.nih.gov/gene/?term=353344
Pax2	Pax2	paired box 2	18504	https://www.ncbi.nlm.nih.gov/gene/?term=18504
Plagl1	Plagl1	pleiomorphic adenoma gene-like 1	22634	https://www.ncbi.nlm.nih.gov/gene/?term=22634
Ass1	Ass1	argininosuccinate synthetase 1	11898	https://www.ncbi.nlm.nih.gov/gene/?term=11898
Amigo2	Amigo2	adhesion molecule with Ig like domain 2	105827	https://www.ncbi.nlm.nih.gov/gene/?term=105827
Slc17a1	Slc17a1	solute carrier family 17 (sodium phosphate), member 1	20504	https://www.ncbi.nlm.nih.gov/gene/?term=20504
Klhl30	Klhl30	kelch-like 30	70788	https://www.ncbi.nlm.nih.gov/gene/?term=70788
Fermt2	Fermt2	fermitin family member 2	218952	https://www.ncbi.nlm.nih.gov/gene/?term=218952
Tmem178	Tmem178	transmembrane protein 178	68027	https://www.ncbi.nlm.nih.gov/gene/?term=68027
Misp	Misp	mitotic spindle positioning	78906	https://www.ncbi.nlm.nih.gov/gene/?term=78906
Fgf18	Fgf18	fibroblast growth factor 18	14172	https://www.ncbi.nlm.nih.gov/gene/?term=14172
Rgs20	Rgs20	regulator of G-protein signaling 20	58175	https://www.ncbi.nlm.nih.gov/gene/?term=58175
Tshz1	Tshz1	teashirt zinc finger family member 1	110796	https://www.ncbi.nlm.nih.gov/gene/?term=110796
Zfp704	Zfp704	zinc finger protein 704	170753	https://www.ncbi.nlm.nih.gov/gene/?term=170753
Kitl	Kitl	kit ligand	17311	https://www.ncbi.nlm.nih.gov/gene/?term=17311
Rasl11a	Rasl11a	RAS-like, family 11, member A	68895	https://www.ncbi.nlm.nih.gov/gene/?term=68895
Prss56	Prss56	protease, serine 56	69453	https://www.ncbi.nlm.nih.gov/gene/?term=69453
Ttc28	Ttc28	tetratricopeptide repeat domain 28	209683	https://www.ncbi.nlm.nih.gov/gene/?term=209683
2810013P06Rik	2810013P06Rik	RIKEN cDNA 2810013P06 gene	100503178	https://www.ncbi.nlm.nih.gov/gene/?term=100503178
Nhsl2	Nhsl2	NHS-like 2	100042480	https://www.ncbi.nlm.nih.gov/gene/?term=100042480
Lifr	Lifr	LIF receptor alpha	16880	https://www.ncbi.nlm.nih.gov/gene/?term=16880
Tmem140	Tmem140	transmembrane protein 140	68487	https://www.ncbi.nlm.nih.gov/gene/?term=68487
Thsd7a	Thsd7a	thrombospondin, type I, domain containing 7A	330267	https://www.ncbi.nlm.nih.gov/gene/?term=330267
Mbtps1	Mbtps1	membrane-bound transcription factor peptidase, site 1	56453	https://www.ncbi.nlm.nih.gov/gene/?term=56453
Ctnnd2	Ctnnd2	catenin (cadherin associated protein), delta 2	18163	https://www.ncbi.nlm.nih.gov/gene/?term=18163
Cacng7	Cacng7	calcium channel, voltage-dependent, gamma subunit 7	81904	https://www.ncbi.nlm.nih.gov/gene/?term=81904
Flrt3	Flrt3	fibronectin leucine rich transmembrane protein 3	71436	https://www.ncbi.nlm.nih.gov/gene/?term=71436
Atoh8	Atoh8	atonal bHLH transcription factor 8	71093	https://www.ncbi.nlm.nih.gov/gene/?term=71093
Fras1	Fras1	Fraser extracellular matrix complex subunit 1	231470	https://www.ncbi.nlm.nih.gov/gene/?term=231470
Fetub	Fetub	fetuin beta	59083	https://www.ncbi.nlm.nih.gov/gene/?term=59083
Mpp7	Mpp7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	75739	https://www.ncbi.nlm.nih.gov/gene/?term=75739
Kng2	Kng2	kininogen 2	385643	https://www.ncbi.nlm.nih.gov/gene/?term=385643
St3gal2	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	20444	https://www.ncbi.nlm.nih.gov/gene/?term=20444
Pde5a	Pde5a	phosphodiesterase 5A, cGMP-specific	242202	https://www.ncbi.nlm.nih.gov/gene/?term=242202
Abcb1b	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	18669	https://www.ncbi.nlm.nih.gov/gene/?term=18669
Pdgfc	Pdgfc	platelet-derived growth factor, C polypeptide	54635	https://www.ncbi.nlm.nih.gov/gene/?term=54635
Fam151b	Fam151b	family with sequence similarity 151, member B	73942	https://www.ncbi.nlm.nih.gov/gene/?term=73942
Parp11	Parp11	poly (ADP-ribose) polymerase family, member 11	101187	https://www.ncbi.nlm.nih.gov/gene/?term=101187
Reck	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	53614	https://www.ncbi.nlm.nih.gov/gene/?term=53614
S100a4	S100a4	S100 calcium binding protein A4	20198	https://www.ncbi.nlm.nih.gov/gene/?term=20198
Ranbp3l	Ranbp3l	RAN binding protein 3-like	223332	https://www.ncbi.nlm.nih.gov/gene/?term=223332
Platr22	Platr22	pluripotency associated transcript 22	100503474	https://www.ncbi.nlm.nih.gov/gene/?term=100503474
Mro	Mro	maestro	71263	https://www.ncbi.nlm.nih.gov/gene/?term=71263
Parvb	Parvb	parvin, beta	170736	https://www.ncbi.nlm.nih.gov/gene/?term=170736
Klhl23	Klhl23	kelch-like 23	277396	https://www.ncbi.nlm.nih.gov/gene/?term=277396
Tnc	Tnc	tenascin C	21923	https://www.ncbi.nlm.nih.gov/gene/?term=21923
Rarb	Rarb	retinoic acid receptor, beta	218772	https://www.ncbi.nlm.nih.gov/gene/?term=218772
Cftr	Cftr	cystic fibrosis transmembrane conductance regulator	12638	https://www.ncbi.nlm.nih.gov/gene/?term=12638
Plch1	Plch1	phospholipase C, eta 1	269437	https://www.ncbi.nlm.nih.gov/gene/?term=269437
Pde8b	Pde8b	phosphodiesterase 8B	218461	https://www.ncbi.nlm.nih.gov/gene/?term=218461
Jph2	Jph2	junctophilin 2	59091	https://www.ncbi.nlm.nih.gov/gene/?term=59091
St6gal1	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	20440	https://www.ncbi.nlm.nih.gov/gene/?term=20440
Kcnj15	Kcnj15	potassium inwardly-rectifying channel, subfamily J, member 15	16516	https://www.ncbi.nlm.nih.gov/gene/?term=16516
Spata6	Spata6	spermatogenesis associated 6	67946	https://www.ncbi.nlm.nih.gov/gene/?term=67946
Ccl28	Ccl28	chemokine (C-C motif) ligand 28	56838	https://www.ncbi.nlm.nih.gov/gene/?term=56838
Rora	Rora	RAR-related orphan receptor alpha	19883	https://www.ncbi.nlm.nih.gov/gene/?term=19883
Pth2r	Pth2r	parathyroid hormone 2 receptor	213527	https://www.ncbi.nlm.nih.gov/gene/?term=213527
Akap17b	Akap17b	A kinase (PRKA) anchor protein 17B	338351	https://www.ncbi.nlm.nih.gov/gene/?term=338351
C1ra	C1ra	complement component 1, r subcomponent A	50909	https://www.ncbi.nlm.nih.gov/gene/?term=50909
Manea	Manea	mannosidase, endo-alpha	242362	https://www.ncbi.nlm.nih.gov/gene/?term=242362
Twist2	Twist2	twist basic helix-loop-helix transcription factor 2	13345	https://www.ncbi.nlm.nih.gov/gene/?term=13345
Zmat1	Zmat1	zinc finger, matrin type 1	215693	https://www.ncbi.nlm.nih.gov/gene/?term=215693
Cfap69	Cfap69	cilia and flagella associated protein 69	207686	https://www.ncbi.nlm.nih.gov/gene/?term=207686
9530052C20Rik	9530052C20Rik	RIKEN cDNA 9530052C20 gene	320229	https://www.ncbi.nlm.nih.gov/gene/?term=320229
Islr2	Islr2	immunoglobulin superfamily containing leucine-rich repeat 2	320563	https://www.ncbi.nlm.nih.gov/gene/?term=320563
Lrp2	Lrp2	low density lipoprotein receptor-related protein 2	14725	https://www.ncbi.nlm.nih.gov/gene/?term=14725
Trim68	Trim68	tripartite motif-containing 68	101700	https://www.ncbi.nlm.nih.gov/gene/?term=101700
Afm	Afm	afamin	280662	https://www.ncbi.nlm.nih.gov/gene/?term=280662
Pdpr	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	319518	https://www.ncbi.nlm.nih.gov/gene/?term=319518
Abcg2	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	26357	https://www.ncbi.nlm.nih.gov/gene/?term=26357
Itih2	Itih2	inter-alpha trypsin inhibitor, heavy chain 2	16425	https://www.ncbi.nlm.nih.gov/gene/?term=16425
Col4a2	Col4a2	collagen, type IV, alpha 2	12827	https://www.ncbi.nlm.nih.gov/gene/?term=12827
Jazf1	Jazf1	JAZF zinc finger 1	231986	https://www.ncbi.nlm.nih.gov/gene/?term=231986
Dclk2	Dclk2	doublecortin-like kinase 2	70762	https://www.ncbi.nlm.nih.gov/gene/?term=70762
Adgra2	Adgra2	adhesion G protein-coupled receptor A2	78560	https://www.ncbi.nlm.nih.gov/gene/?term=78560
Plcg2	Plcg2	phospholipase C, gamma 2	234779	https://www.ncbi.nlm.nih.gov/gene/?term=234779
Zbtb20	Zbtb20	zinc finger and BTB domain containing 20	56490	https://www.ncbi.nlm.nih.gov/gene/?term=56490
Fhl1	Fhl1	four and a half LIM domains 1	14199	https://www.ncbi.nlm.nih.gov/gene/?term=14199
Rhou	Rhou	ras homolog family member U	69581	https://www.ncbi.nlm.nih.gov/gene/?term=69581
Hsdl1	Hsdl1	hydroxysteroid dehydrogenase like 1	72552	https://www.ncbi.nlm.nih.gov/gene/?term=72552
Pdzk1ip1	Pdzk1ip1	PDZK1 interacting protein 1	67182	https://www.ncbi.nlm.nih.gov/gene/?term=67182
Ly6c1	Ly6c1	lymphocyte antigen 6 complex, locus C1	17067	https://www.ncbi.nlm.nih.gov/gene/?term=17067
Cela1	Cela1	chymotrypsin-like elastase family, member 1	109901	https://www.ncbi.nlm.nih.gov/gene/?term=109901
Nol3	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)	78688	https://www.ncbi.nlm.nih.gov/gene/?term=78688
Lhfpl2	Lhfpl2	lipoma HMGIC fusion partner-like 2	218454	https://www.ncbi.nlm.nih.gov/gene/?term=218454
Hpgds	Hpgds	hematopoietic prostaglandin D synthase	54486	https://www.ncbi.nlm.nih.gov/gene/?term=54486
Vim	Vim	vimentin	22352	https://www.ncbi.nlm.nih.gov/gene/?term=22352
Mvb12b	Mvb12b	multivesicular body subunit 12B	72543	https://www.ncbi.nlm.nih.gov/gene/?term=72543
Deptor	Deptor	DEP domain containing MTOR-interacting protein	97998	https://www.ncbi.nlm.nih.gov/gene/?term=97998
Slc4a3	Slc4a3	solute carrier family 4 (anion exchanger), member 3	20536	https://www.ncbi.nlm.nih.gov/gene/?term=20536
Ttc12	Ttc12	tetratricopeptide repeat domain 12	235330	https://www.ncbi.nlm.nih.gov/gene/?term=235330
Fgf1	Fgf1	fibroblast growth factor 1	14164	https://www.ncbi.nlm.nih.gov/gene/?term=14164
Fbxo16	Fbxo16	F-box protein 16	50759	https://www.ncbi.nlm.nih.gov/gene/?term=50759
Timp3	Timp3	tissue inhibitor of metalloproteinase 3	21859	https://www.ncbi.nlm.nih.gov/gene/?term=21859
Maoa	Maoa	monoamine oxidase A	17161	https://www.ncbi.nlm.nih.gov/gene/?term=17161
Tox	Tox	thymocyte selection-associated high mobility group box	252838	https://www.ncbi.nlm.nih.gov/gene/?term=252838
Rnf144a	Rnf144a	ring finger protein 144A	108089	https://www.ncbi.nlm.nih.gov/gene/?term=108089
Fbxl13	Fbxl13	F-box and leucine-rich repeat protein 13	320118	https://www.ncbi.nlm.nih.gov/gene/?term=320118
H2afy2	H2afy2	H2A histone family, member Y2	404634	https://www.ncbi.nlm.nih.gov/gene/?term=404634
Gcsh	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	68133	https://www.ncbi.nlm.nih.gov/gene/?term=68133
Pros1	Pros1	protein S (alpha)	19128	https://www.ncbi.nlm.nih.gov/gene/?term=19128
Casc4	Casc4	cancer susceptibility candidate 4	319996	https://www.ncbi.nlm.nih.gov/gene/?term=319996
Ntn4	Ntn4	netrin 4	57764	https://www.ncbi.nlm.nih.gov/gene/?term=57764
Ank2	Ank2	ankyrin 2, brain	109676	https://www.ncbi.nlm.nih.gov/gene/?term=109676
Mical2	Mical2	microtubule associated monooxygenase, calponin and LIM domain containing 2	320878	https://www.ncbi.nlm.nih.gov/gene/?term=320878
Tns1	Tns1	tensin 1	21961	https://www.ncbi.nlm.nih.gov/gene/?term=21961
Alcam	Alcam	activated leukocyte cell adhesion molecule	11658	https://www.ncbi.nlm.nih.gov/gene/?term=11658
Serpinb9b	Serpinb9b	serine (or cysteine) peptidase inhibitor, clade B, member 9b	20706	https://www.ncbi.nlm.nih.gov/gene/?term=20706
Ddr2	Ddr2	discoidin domain receptor family, member 2	18214	https://www.ncbi.nlm.nih.gov/gene/?term=18214
Slc12a3	Slc12a3	solute carrier family 12, member 3	20497	https://www.ncbi.nlm.nih.gov/gene/?term=20497
Slc2a2	Slc2a2	solute carrier family 2 (facilitated glucose transporter), member 2	20526	https://www.ncbi.nlm.nih.gov/gene/?term=20526
Adamts14	Adamts14	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14	237360	https://www.ncbi.nlm.nih.gov/gene/?term=237360
Mturn	Mturn	maturin, neural progenitor differentiation regulator homolog (Xenopus)	68235	https://www.ncbi.nlm.nih.gov/gene/?term=68235
Rnf125	Rnf125	ring finger protein 125	67664	https://www.ncbi.nlm.nih.gov/gene/?term=67664
Aebp1	Aebp1	AE binding protein 1	11568	https://www.ncbi.nlm.nih.gov/gene/?term=11568
Plxnd1	Plxnd1	plexin D1	67784	https://www.ncbi.nlm.nih.gov/gene/?term=67784
Mylk	Mylk	myosin, light polypeptide kinase	107589	https://www.ncbi.nlm.nih.gov/gene/?term=107589
Spp1	Spp1	secreted phosphoprotein 1	20750	https://www.ncbi.nlm.nih.gov/gene/?term=20750
Mt2	Mt2	metallothionein 2	17750	https://www.ncbi.nlm.nih.gov/gene/?term=17750
H19	H19	H19, imprinted maternally expressed transcript	14955	https://www.ncbi.nlm.nih.gov/gene/?term=14955
Enpp1	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1	18605	https://www.ncbi.nlm.nih.gov/gene/?term=18605
Agbl3	Agbl3	ATP/GTP binding protein-like 3	76223	https://www.ncbi.nlm.nih.gov/gene/?term=76223
Prss12	Prss12	protease, serine 12 neurotrypsin (motopsin)	19142	https://www.ncbi.nlm.nih.gov/gene/?term=19142
Cldn8	Cldn8	claudin 8	54420	https://www.ncbi.nlm.nih.gov/gene/?term=54420
Il33	Il33	interleukin 33	77125	https://www.ncbi.nlm.nih.gov/gene/?term=77125
Il1rl1	Il1rl1	interleukin 1 receptor-like 1	17082	https://www.ncbi.nlm.nih.gov/gene/?term=17082
