Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RVG_11	25165353.0	299.0	16928839.0	67.27	293.46	15448078.0	15253712.0	15048038.0	96136.0	11683.0	292221.0	0.62	0.08	2.17	0.05	1.99	0.0	0.0	1333996.0	5.3	0.0	26.78	0.64	0	6741409	161109
RVG_4	19401217.0	299.0	14419759.0	74.32	293.92	12996929.0	12682849.0	12517630.0	99844.0	5295.0	374160.0	0.6	0.05	2.25	0.05	1.91	0.0	0.0	935201.0	4.82	0.0	20.35	0.5	0	3949224	97033
Skin_1	16371306.0	299.0	12094866.0	73.88	295.34	13648345.0	13540628.0	13489737.0	82608.0	2887.0	73113.0	0.4	0.03	2.38	0.04	1.92	0.0	0.0	299509.0	1.83	0.0	24.28	0.01	0	3975294	1637
Skin_2	15562787.0	299.0	11510142.0	73.96	295.1	12894786.0	12786349.0	12741531.0	85502.0	2795.0	64958.0	0.52	0.03	2.49	0.03	1.95	0.0	0.0	271614.0	1.75	0.0	24.28	0.01	0	3779474	1557
Skn_11	23892384.0	299.0	18550808.0	77.64	294.72	17117918.0	16995399.0	16848815.0	154976.0	15267.0	98860.0	0.47	0.05	2.63	0.05	2.14	0.0	0.0	449119.0	1.88	0.0	20.46	0.02	0	4887679	4778
Skn_4	19999571.0	299.0	15385522.0	76.93	294.6	18913066.0	18771274.0	18723523.0	96522.0	4960.0	88061.0	0.42	0.03	2.41	0.03	2.17	0.0	0.0	387491.0	1.94	0.0	21.13	0.0	0	4226558	0
Stom_1	17152252.0	299.0	12642498.0	73.71	294.72	13531080.0	13442339.0	13381065.0	76338.0	3543.0	70134.0	0.52	0.03	2.49	0.03	1.94	0.0	0.0	301506.0	1.76	0.0	24.52	0.02	0	4204818	3430
Stom_2	23151594.0	299.0	17429838.0	75.29	295.0	18204704.0	18061875.0	17961815.0	139387.0	6984.0	96518.0	0.45	0.04	2.41	0.04	1.99	0.0	0.0	424040.0	1.83	0.0	22.87	0.02	0	5293087	4629
TDPE_1	25485213.0	299.0	18029279.0	70.74	294.65	17320875.0	17116390.0	16916894.0	112959.0	3533.0	287489.0	0.63	0.04	2.37	0.03	1.81	0.0	0.0	1063019.0	4.17	0.0	24.78	0.3	0	6316445	76470
TDPE_2	18186147.0	299.0	12877316.0	70.81	294.07	11469483.0	11325154.0	11134365.0	74261.0	2514.0	258343.0	0.7	0.05	2.27	0.04	1.89	0.0	0.0	871286.0	4.79	0.0	24.01	0.39	0	4366617	70928
TDPE_3	21837917.0	299.0	15230805.0	69.74	293.8	13306197.0	13143980.0	12904932.0	88194.0	3120.0	309951.0	0.73	0.05	2.25	0.05	1.9	0.0	0.0	1075056.0	4.92	0.0	24.92	0.41	0	5442512	89544
TDPE_4	23072193.0	299.0	16432563.0	71.22	294.62	14635198.0	14443729.0	14207337.0	114116.0	8476.0	305269.0	0.6	0.05	2.31	0.04	1.83	0.0	0.0	1055443.0	4.57	0.0	23.84	0.36	0	5501116	83071
Un1	26546193.0	299.0	17924262.0	67.52	293.43	15457288.0	15335929.0	15056147.0	91102.0	5498.0	304541.0	0.71	0.07	2.79	0.04	1.9	0.0	0.0	1788987.0	6.74	0.0	25.26	0.48	0	6705523	127421
Un2	19594674.0	299.0	15882831.0	81.06	295.74	14928010.0	14755478.0	14607348.0	131430.0	5560.0	183672.0	0.43	0.04	2.71	0.06	1.92	0.0	0.0	482982.0	2.46	0.0	16.4	0.08	0	3213187	15674
Unext_1	21591762.0	299.0	14417303.0	66.77	294.32	11915603.0	11809844.0	11696021.0	87575.0	3408.0	128599.0	0.55	0.02	2.04	0.04	1.66	0.0	0.0	858971.0	3.98	0.0	29.03	0.22	0	6267987	47501
Unext_2	16682805.0	299.0	11302903.0	67.75	294.89	9620034.0	9529125.0	9412502.0	77534.0	3322.0	126676.0	0.43	0.02	2.06	0.03	1.59	0.0	0.0	600810.0	3.6	0.0	28.54	0.11	0	4760743	18349
Unext_3	19617427.0	299.0	13372396.0	68.17	294.81	11344371.0	11265564.0	11071181.0	105139.0	3351.0	164700.0	0.44	0.02	2.08	0.03	1.58	0.0	0.0	694244.0	3.54	0.0	28.19	0.1	0	5531166	19621
Unext_4	21802668.0	299.0	14807999.0	67.92	294.6	14013549.0	13864783.0	13763576.0	87780.0	8219.0	153974.0	0.47	0.02	2.28	0.02	1.57	0.0	0.0	776720.0	3.56	0.0	28.37	0.14	0	6187415	30534
