geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04927	Cortisol synthesis and secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04927+10488+1386+1388+3164+468+64764+6667+90993	14	8	2.245614035087719	3.5625	3.9519038757696023e-4	0.004347094263346563	10488;1386;1388;3164;468;64764;6667;90993	ATF4;CREB3L2;CREB3;ATF6B;NR4A1;SP1;CREB3L1;ATF2
hsa04911	Insulin secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04911+10488+1386+1388+468+64764+90993	9	6	1.443609022556391	4.15625	7.781157114907788e-4	0.007846000090865354	10488;1386;1388;468;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;CREB3L1;ATF2
hsa04918	Thyroid hormone synthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04918+10488+1386+1388+468+64764+90993	10	6	1.6040100250626566	3.740625	0.0016999110051070243	0.01582224858599615	10488;1386;1388;468;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;CREB3L1;ATF2
hsa04211	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04211+10488+1386+1388+2309+23411+468+64764+90993	17	8	2.726817042606516	2.933823529411765	0.0021245833699101713	0.01836247055422362	10488;1386;1388;2309;23411;468;64764;90993	SIRT1;ATF4;CREB3L2;CREB3;ATF6B;FOXO3;CREB3L1;ATF2
hsa04934	Cushing syndrome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04934+10488+1386+1388+3164+405+468+595+64764+6667+7474+90993	29	11	4.651629072681704	2.364762931034483	0.002534531798239703	0.02044522317246694	10488;1386;1388;3164;405;468;595;64764;6667;7474;90993	ATF4;CREB3L2;CREB3;ARNT;ATF6B;WNT5A;NR4A1;SP1;CREB3L1;CCND1;ATF2
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+10488+1386+1388+2353+3725+468+64764+90993	18	8	2.887218045112782	2.7708333333333335	0.0033365344137057384	0.02427153531907569	10488;1386;1388;2353;3725;468;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;JUN;FOS;CREB3L1;ATF2
hsa04725	Cholinergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04725+10488+2353+468+64764+90993	8	5	1.2832080200501252	3.896484375	0.0034862148791767744	0.02427153531907569	10488;2353;468;64764;90993	ATF4;CREB3L2;CREB3;FOS;CREB3L1
hsa04928	Parathyroid hormone synthesis, secretion and action	http://www.kegg.jp/kegg-bin/show_pathway?hsa04928+10488+1386+1388+2353+468+4929+64764+6667+90993	22	9	3.5288220551378444	2.5504261363636367	0.003610641617713739	0.02427153531907569	10488;1386;1388;2353;468;4929;64764;6667;90993	ATF4;CREB3L2;CREB3;ATF6B;SP1;FOS;CREB3L1;NR4A2;ATF2
hsa04152	AMPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04152+10488+2309+23411+595+64764+6720+90993	15	7	2.406015037593985	2.9093750000000003	0.004446598492626075	0.02831781145303974	10488;2309;23411;595;64764;6720;90993	SIRT1;CREB3L2;CREB3;SREBF1;FOXO3;CREB3L1;CCND1
hsa04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04010+1386+1649+2005+2353+3164+3725+468+4772	20	8	3.208020050125313	2.4937500000000004	0.007312028800386727	0.0442377742423397	1386;1649;2005;2353;3164;3725;468;4772	ATF4;NR4A1;DDIT3;NFATC1;ELK4;JUN;FOS;ATF2
